,,,,,,
,,,,,,
,Generic Interest,Sub custom Interest,Type of source,Link ,Output Network combination  ,Score
Anaia Network ,Beauty,Ayurveda ,Blog,https://www.kamaayurveda.com/blog/rose-water-for-face/,Anaia ,5
Anaia Network ,Beauty,Ayurveda ,Product (Night Serum),https://www.kamaayurveda.com/international/kumkumadi-miraculous-beauty-ayurvedic-night-serum-in.html,Anaia ,5
Anaia Network ,Beauty,Ayurveda ,Product (Moringa Oil),https://www.kamaayurveda.com/international/organic-moringa-oil.html,Anaia ,5
Anaia Network ,Beauty,Ayurveda ,Article Blog,https://www.geetavara.co.uk/blog-2/2020/4/25/nbspthe-five-vata-sub-doshas,Anaia ,3
Anaia Network ,Beauty,Ayurveda ,Article Blog,https://www.geetavara.co.uk/blog-2/2020/3/23/immune-boosting-guduchi-to-the-rescue,Anaia ,3
Anaia Network ,Beauty,Ayurveda ,Product (Tongue Scraper),https://www.geetavara.co.uk/shop/tongue-scraper,Anaia ,3
Anaia Network ,Beauty,Ayurveda ,Blog,https://www.kamaayurveda.com/blog/how-to-remove-stretch-marks/,Anaia ,5
Anaia Network ,Beauty,Ayurveda ,Blog,https://www.kamaayurveda.com/blog/almond-oil/,Anaia ,5
Anaia Network ,Fashion ,Indian,Article,https://www.vogue.in/fashion/content/pictures-deepika-padukone-showed-you-how-to-wear-black-for-every-mood-designer-wardrobe,Anaia ,4
Anaia Network ,Fashion ,Indian ,Article,https://www.vogue.in/fashion/content/why-you-need-to-support-small-businesses-girls-of-summer-sale,Anaia ,4
Anaia Network ,Fashion ,Indian,Article,https://www.vogue.in/fashion/content/alia-bhatt-guide-to-wearing-a-crop-top-this-season,Anaia ,2
Anaia Network ,Fashion ,Indian,Article,https://www.vogue.in/fashion/content/pictures-malaika-arora-statement-indian-wear-lehengas-sari-blouse-designs,Anaia ,2
Anaia Network ,Food ,Indian,Video ,https://www.youtube.com/watch?v=MyxqFNFF3xE,Anaia ,5
Anaia Network ,Food ,Indian,Video ,https://www.youtube.com/watch?v=UdDZtE_T-YA,Anaia ,5
Anaia Network ,Food ,Indian,Video ,https://www.youtube.com/watch?v=qKpXdUfDI8k,Anaia ,5
Anaia Network ,Food ,Indian,Video ,https://www.youtube.com/watch?v=S582ox6c4l4,Anaia ,4
Anaia Network ,Life ,Spirituality,Blog,https://medium.com/@raushanipandey/india-the-land-of-spirituality-416a8d9845e1,Anaia ,3
Anaia Network ,Fashion ,Gucci,Product,https://www.gucci.com/uk/en_gb/pr/women/ready-to-wear-for-women/tops-and-shirts-for-women/tops-for-women/iridescent-lame-pleated-mini-dress-p-593166ZHM204793,Anaia ,5
Anaia Network ,Topics,Business,Article,https://www.businessinsider.in/business/startups/news/paytm-is-the-only-indian-company-to-make-it-to-financial-times-top-10-high-growth-companies-in-apac/articleshow/75343467.cms,Anaia ,4
Anaia Network ,Topics ,Business ,Article,https://www.businessinsider.in/business/startups/news/phonepe-is-the-latest-to-turn-grocery-aggregator-with-a-new-feature-with-list-of-stores-near-you/articleshow/75139885.cms,Anaia ,3
,,,,,,
,,,,,,
,Generic Interest,Sub custom Interest,Type of Source,Link ,Output Network,Score
Octavia Network ,Fashion,Rigby & Peller,Instagram,https://www.instagram.com/p/B9MiCLLimm_/,Octavia,5
Octavia Network ,Beauty ,Fragrance,Blog Website,https://www.florislondon.com/en_gbp/fragrance-finder,Octavia ,5
Octavia Network ,Fashion,Trends,Magazine,https://www.tatler.com/gallery/watches-and-wonders-2020,Octavia,3
Octavia Network ,Style,Country,Blog Website,https://www.barbour.com/uk/blog/barbour-dog-walking-essentials/,Octavia,5
Octavia Network ,Fashion,Burberry,Magazine,https://www.harpersbazaar.com/fashion/designers/a32227216/burberry-reburberry-edit-collection/,Octavia,5
Octavia Network ,Fashion,Burberry,Website,https://uk.burberry.com/beta/womens-silk-scarves/,Octavia,5
Octavia Network ,Health,Detox,Blog Website,https://www.bamford.com/uk/journal/breath-works-seed-magazine,Octavia,4
Octavia Network ,Beauty ,Hair,Blog Website,https://www.bamford.com/uk/journal/bamford-launches-b-vibrant,Octavia,4
Octavia Network ,Food ,Sri Lankan,Website,https://www.thrillist.com/eat/nation/what-is-sri-lankan-food-here-are-the-7-dishes-you-need-to-know,Octavia,4
Octavia Network ,Food ,Sri Lankan,Youtube ,https://www.youtube.com/watch?v=KUcW5Hh6UcI,Octavia,5
Octavia Network ,Food ,Sri Lankan,Youtube ,https://www.youtube.com/watch?v=5y7rK2gkylQ,Octavia,5
Octavia Network ,Hobbies,Hiking,Website,https://www.visitcornwall.com/things-to-do/attractions/west-cornwall/lands-end/lands-end-landmark,Octavia,4
Octavia Network ,Home,Candles,Website Blog,https://www.osmology.co/blog/which-wax/,Octavia,3
Octavia Network ,Beauty ,Skin,Instagram,https://www.instagram.com/p/CADNZ78I2IF/,Octavia,5
Octavia Network ,Home,Candles,Instagram,https://www.instagram.com/p/B-o-yfEI1i_/,Octavia,5
Octavia Network ,Home,Decor,Website,https://www.heals.com/designer/michael-anastassiades.html/,Octavia,3
Octavia Network ,Home,Furniture,Website Blog,https://www.heals.com/blog/heals-at-home/,Octavia,3
Octavia Network ,Topics,Books,Amazon,https://www.amazon.co.uk/b/?node=10959961&ref_=Oct_s9_apbd_odnav_hd_bw_b18bb_0&pf_rd_r=CC71QSNV0R571GBJGQ77&pf_rd_p=97f1707e-2288-57ae-9c67-59463b14ba5e&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=271411,Octavia,5
